STRATA,CONTENT
水月寺(岩)群,
宋家山群,山西省地质局区测队1972年创名，命名剖面位于山西垣曲县东约16km宋家山。以“天窗”形式出露于垣曲县同善镇北的宋家山—绛道沟—杜家沟一带及同善镇以东的落家河，出露面积共约60km2。该群变质岩系岩相变化较大，构造较复杂。总体上由西向东地层由新至老，按岩石组合可分为四大层，总厚度约5000m。宋家山群基本信息地层名称:宋家山群地层名称（英文）: Songjiashan Gr阶代码: Pt1sj地区代码: 10宋家山群宋家山群-沿革垣曲县同善镇附近的西阳河群中有一构造窗，习惯上称为“同善天窗”。该天窗东部出露花岗片麻岩，西部为变质沉积岩和变质火山岩。山西省地质局区测队(1972)将西部这套变质岩系命名为“宋家山组” ，作为绛县群的上部层位。1980年，徐朝雷等将其改称为宋家山群并认为大体可与中条群的篦子沟组和温峪组相对比。山西地矿局(1989)将这套变质岩系归于中条超群。孙大中等(1993)沿用了宋家山群的名称，但认为该群顶部层位长石石英岩大致相当于中条群底部界牌梁组，其余层位与绛县群铜矿峪组可能为同时异相产物，或相当于铜矿峪组之上的层位。目前，作为未定层位处理。因为该群以天窗式出露，难以明确判定其地层位置。变质岩系构造较复杂，顶、底尚不清，还没有建立起可靠的地层层序，地层的划分对比缺乏依据，只能笼统地作为一个群级地层单位对待。宋家山群宋家山群-特征最下一层为绿泥角闪石岩、斜长角闪片麻岩夹磁铁石英岩、黑云片岩、黑云变粒岩和浅粒岩，厚约2000m；第二层为绢云石英片岩、白云石大理岩和石英岩，厚约600m；第三层底部为绢云石英片岩夹石英岩和变中基性—基性火山岩。中部为绢云石英片岩与石英岩、白云石大理岩互层。上部为绢云绿泥片岩夹白云石大理岩和变中基性—基性火山岩，厚约2000m，与顶层之间可能为不整合接触；顶层为长石石英岩，厚约400m。该群的中下部是落家河型变质火山热流铜矿的含矿层位。铜矿赋存于绿泥片岩和石墨绢云绿泥片岩中，受层位和岩性控制，与火山作用直接有关，并经受变质改造。该群遭受以低角闪岩为主的区域动力热流变质作用， 经受三期褶皱变形(徐朝雷等，1994)。原岩以碳酸盐岩、长石石英砂岩为主，其次为富钠中基性—基性火山岩及基性—酸性火山凝灰岩和泥质岩。变沉积岩具韵律构造，石英岩中波痕和交错层发育。变泥质岩中有泥裂和石盐假晶，为浅海相沉积产物。变火山岩具明显的变余气孔和杏仁构造，变余辉绿结构和晶屑凝灰结构。白云石大理岩中产有叠层石。其变长英质凝灰岩中自形单颗粒锆石U-Pb年龄为2400Ma，可能代表火山岩原始结晶年龄，此外其中还测得2700Ma左右的继承或捕获锆石U-Pb年龄。前者与涑水杂岩中冷口变火山岩的年龄相近，但根据变基性火山岩、变酸性凝灰岩的Sm-Nd等时线年龄(2535±19Ma)和变基性火山岩的Rb-Sr等时线年龄(2433±40Ma)资料与绛县群铜矿峪组的变基性火山岩的同类资料对比，在Sm-Nd和Rb-Sr年龄，Isr和εNd(t)以及TDM等数值或比值方面均十分或比较接近，说明其来源和形成时间的相近，故该群暂与绛县群相对比(孙大中、胡维兴主编，1993)。该群与上覆中元古代西阳河群呈不整合接触。宋家山群宋家山群-备考撰: 孙大中作者: 孙大中年份:1993系名: 古元古界
涑水杂岩,涑水杂岩（Sushui Complex）的时代属新太古代或新太古代至古元古代。分布于山西中条山地区，为中深块状变质岩系。该杂岩包括23.5亿年的变质火山岩，并含有更年轻的花岗质侵入岩，可能还含有太古宙的岩石，但其主体是花岗质侵入岩，表壳岩较少，且岩性、岩相变化大。涑水杂岩基本信息地层名称: 涑水杂岩地层名称（英文） Sushui Complex Ar3 或阶代码: Ar3 - Pt1地区代码: 8涑水杂岩命名白瑾1959年创名，山西地质局区调队(1972)发表。涑水杂岩沿革1952年以前，中外地质学家一般认为中条山地区的古老变质岩系相当于“泰山系”。1953年，王植等称其为“五台系”。1958年，张伯声称其为“底部杂岩系”。1959年，孙大中等称其为“中条系”。1959年，白瑾将该变质岩系中古老的片麻岩与其上覆的片岩分开，后者称为“中条群”，前者称为“五台群”，又名“涑水杂岩系”。1959年全国地层会议将区内变质岩系自下而上3分，分别置于元古宇(中条群)、太古宇上部和下部。其中太古宇下部地层被命名为“涑水杂岩”。1961年，张尔道将中条群称作“横岭关群”①。1972年，山西省地质局区调队在1∶20万运城、三门峡幅地质图中将“涑水杂岩”定为正式的岩石地层单位，改名为“涑水群”，并自下而上划分为北庄组、马家庙组、小岭组、卫家池组、蔡岭组和洞沟组，归属太古界下部。1978年《中条山铜矿地质》编写组及1993年孙大中等沿用了“涑水杂岩”这一名称，但其涵义和以往有所不同，认为“涑水杂岩”并非是一个简单的太古宙基底，而是既包括了2350Ma上下的变质火山岩，又含有更年轻一些的花岗质侵入岩，也不排除涑水杂岩中有太古宙的岩石。其主体是花岗质侵入岩，表壳岩较少，且岩性、岩相变化大，不宜建群。据此，本典改称涑水杂岩。涑水杂岩特征涑水杂岩原指分布在中条山脉西北坡闻喜县—夏县一带的涑水河流中级变质岩系。后来，把中条山以西的稷山、曲沃和稷王山4个在第四纪地堑中孤立出露的中—深变质程度的地质体也包括在该杂岩中。涑水杂岩与其上岩层的关系，尚有争议。该杂岩既包括了早期的表壳岩，也包括了其后多期侵入的大量花岗质岩石。中条山北段的表壳岩多为典型的变质火山岩地层，称为冷口火山岩，而南段则是以副变质岩为主。变质程度自西向东由麻粒岩相变为低角闪岩相，且叠加了混合岩化作用。最西部稷王山出露的杂岩为角闪二辉斜长麻粒岩和二辉角闪斜长麻粒岩、片麻岩为主的麻粒岩相岩石，曲沃和稷王山零星出露的为低压高角闪岩相岩石，闻喜—夏县一带分布的则是中压低角闪岩相岩石。杂岩体遭受多期强烈的剪切变形作用，剪切带中发育眼球状片麻岩。中条山北段出露的涑水杂岩研究程度相对较高，其特征如下：冷口变质火山岩：主要出露于中条山北段绛县冷口村附近。是一套浅变质的基性—中酸性火山岩，以变质基性火山岩为主，包括黑云片岩、角闪黑云片岩、绿泥黑云片岩、方柱黑云片岩和斜长角闪岩，夹有一层变质英安岩、英安斑岩、羽斑状角闪岩和变质火山角砾岩，并有辉绿岩脉、斜长角闪岩脉和方柱黑云片岩岩脉贯入。一般说，凝灰质岩石具片状构造和羽斑构造，而熔岩则具致密块状构造。由于强烈的剪切拉伸，熔岩常呈分离的透镜体存在于凝灰岩中。片理与沉积层理基本一致。有铜矿化。变质火山岩全岩Rb-Sr等时线年龄为2440±43Ma，Sm-Nd等时线年龄为2497±51Ma(孙大中，1991，1992；赵风清等，1992)，单颗粒锆石蒸发法年龄为2521±3Ma(Kr?ner等，1989)，这些年龄值均接近2500Ma左右。而使用单颗粒锆石U-Pb法和离子探针质谱法测定变质英安质凝灰岩中的锆石，分别获得2360±62Ma和2333±5Ma的年龄。孙大中等(1993) 认为这两个结果重合性较好，该锆石年龄应代表火山岩的原岩结晶年龄。因此，其时代归属古元古代。另外，所获得的接近2500Ma的捕获锆石年龄，说明深部应有太古宙岩石。而白瑾等则认为2500Ma应代表变质火山岩的时代，应属新太古代。冷口火山岩形成之后，本区有大量的三期花岗质岩石侵入，构成了涑水杂岩的主体。最早一期为冷口英云闪长片麻岩，它侵入于冷口变质火山岩中，含许多变质火山岩包体。单颗粒锆石U-Pb年龄为2321±2Ma。第二期为横岭关钙碱性花岗岩，其锆石一致线年龄为2231±86Ma。第三期为烟庄偏碱性花岗岩。南区的杂岩中表壳岩以副变质岩为主，间有少量正变质岩，主要由各种片麻岩、浅粒岩、变粒岩、斜长角闪岩和少量磁铁石英贫矿和大理岩组成。花岗质岩石不但侵入到上述副变质岩中，并已侵入到上覆中条群下亚群中。另外，1989年李子颖在永济县一带的花岗岩中，还获得了1888+52-46Ma的锆石一致线年龄。表明杂岩中可能存在一期更年轻、时代相当于中条期或期后的花岗岩。涑水杂岩备考各家对本杂岩中存在元古宙花岗岩意见较一致。对杂岩的主体的时代存在两种不同意见：一种意见认为绛县群底部平头岭石英岩与涑水杂岩呈不整合接触，其下的冷口变质火山岩中部分大于2500Ma锆石的U-Pb年龄为其生成年龄，故将涑水杂岩定为新太古代；另一种意见认为平头岭石英岩与涑水杂岩之间不存在不整合关系，冷口变质火山岩中大于2500Ma的锆石U-Pb年龄属于继承性年龄，故涑水杂岩的主体为古元古代，但也不排除有少量太古宙地质体的残体存在。西区和南区尚无年龄数据。地层研究尚待深入。 吕恩茂，1982，山西的前五台系，山西省地质局区域地质调查队报告。撰者: 孙大中、金文山作者1: 白瑾年份1: 1959系名: 太古宇
咱里(岩)组,
板峪口(岩)组,板峪口（岩）组是河北省区测大队王启超、陈伯延于1964年命名的岩石地层名称。板峪口（岩）组命名								河北省区测大队王启超、陈伯延，1964年命名。														板峪口（岩）组分布范围华北，山西省[1] 							
店房台(岩)组,店房台（岩）组为石咀亚群的（岩）组级岩石地层单位。是庄旺组的深变质或混合岩化产物（?）。以细粒黑云斜长片麻岩为主夹少量斜长角闪岩，透辉变粒岩。店房台（岩）组时代Ar-Pt店房台（岩）组命名山西区域地质调查大队赵祯祥等，1992年命名。店房台（岩）组特征与下伏庄旺组变粒岩在倾向和走向上均呈渐变关系，两者无确切的界线；和上覆金刚库组不整合接触。出露厚度大于987米。[1] 店房台（岩）组同物异名前庄旺表壳岩。
白沙河(岩)组,白沙河（岩）组为各种麻粒岩、片麻岩、片岩、混合岩、混合片麻岩、混合花岗岩、白云石大理岩、橄榄大理岩及角闪岩组成的中、高级变质岩系。白沙河（岩）组中文名称白沙河（岩）组白沙河（岩）组时代Pt1白沙河（岩）组命名庄庆兴、孙广智等，1982年命名。白沙河（岩）组特征顶部与小庙组整合；底界不明。出露厚2687-13021米以上。白沙河（岩）组同物异名塔西尔组、胡热里格沟组、苦海群。[1] 
后河杂岩,后河杂岩时代Ar-Pt1后河杂岩命名陕西地矿局第二地质大队，1979年命名；陕西区域地质调查大队，1989年介绍。后河杂岩特征下段为条痕状黑云（角闪）斜长混合岩、眼球状黑云（角闪）斜长混合岩夹斜长角闪岩、绿泥片岩；上段以黑云斜长条痕状、眼球状混合岩为主，顶部夹安山玄武岩、酸性火山熔岩。平行不整合或不整合于麻窝子组之下；底部未出露。 [1] 后河杂岩同物异名康定群咱里组。
化隆(岩)群,化隆（岩）群是青海地质局东部队于1962年命名的岩石地层名称。化隆（岩）群命名青海地质局东部队，1962年命名；青海第二区域地质测量大队，1976年介绍。化隆（岩）群分布范围西北，青海省[1] 
金水口(岩)群,金水口（岩）群是1968年青海区域地质测量大队命名的岩石地层名称。金水口（岩）群命名青海区域地质测量大队，1968年命名；1978年介绍。金水口（岩）群层型正层型为青海都兰县诺木洪南金水口-跃进山剖面，青海区域地质测量大队1968年测。金水口（岩）群特征为一套中、高级变质岩系，由下而上为白沙河（岩）组、小庙（岩）组。厚2238-10519米。金水口（岩）群分布范围青海都兰县一带。[1-2] 
奥家滩(岩)组,奥家滩片岩以数十米到数百米、甚至更大的、大小不等的残体存在于片麻岩体之中。基本岩性仍为矽线二云片岩、黑云变粒岩夹大理岩。主要由夕线白云石英片岩、二云片岩、黑云变粒岩组成，夹少量大理岩、石英岩。奥家滩（岩）组年代Ar3-Pt1奥家滩（岩）组命名京地质学院山西实习大队，1960年命名。奥家滩（岩）组特征常产出于各类片麻岩体之间，与界河口群其他地层关系不清（多与岩体呈侵入接触）。出露厚度大于598米。奥家滩（岩）组同物异名店子上（岩）组。[1] 
长树山(岩)组,长树山（岩）组年代Ar3-Pt1长树山（岩）组命名山西区域地质测量大队武铁山、徐朝雷，1967年命名。长树山（岩）组特征主要由含石墨粗晶大理岩、蛇纹大理岩及橄榄大理岩构成。偶夹变粒岩、斜长角闪岩或夕线片岩。与界河口群其他地层关系不清。本岩组常有工业石棉矿床产出。厚1200米以上。长树山（岩）组同物异名南沟组、野猪沟组。[1] 
赤坚岭(岩)组,赤坚岭（岩）组是岩石地层名称，由地科院地质所沈其韩于1959年命名。特征隶属吕梁群。主要由细粒片麻岩、变粒岩和斜长角闪岩组成，其中侵入的片麻岩和细晶岩脉特别发育。局部为变粉砂岩、斜长角闪岩及石英斑岩、长石斑岩、白云片岩、石英岩等。与吕梁群其他地层断层接触或隔以侵入岩体，无正常接触关系。[1] 
大漕组,
贺家湾组,贺家湾组位于界河口群上部。主要由夕线二云片岩夹黑云变粒岩构成，偶夹薄层大理岩，小韵律十分发育。下与阳坪上组呈整合接触；上被野鸡山群不整合覆盖。厚505米。[1] 命名1985年命名。
密云(岩)群,密云（岩）群是岩石地层名称，属Ar2-3时代，1959年命名。密云（岩）群基本信息中文名称：密云（岩）群时代：Ar2-3同物异名：密云岩群密云（岩）群命名索书田等1959年命名；沈其韩等，1996年介绍。密云（岩）群特征由下至上包括沙厂组，苇子峪组和大漕组。为一套深变质的麻粒岩和片麻岩。其中有较多的变质侵入体。其原岩为中基性-中酸性火山岩，凝灰岩及沉积岩组成的火山-沉积旋回。未见底；顶部与四合堂群不整合接触。本（岩）群的二辉麻粒岩以U-Th-Pb法测得其同位素年龄为2393Ma，2404Ma，2451Ma；麻粒岩中锆石U-Pb一致线年龄为2400～2500Ma，均代表其最后一次变质作用混合岩化年龄。[1] 
裴家庄组,裴家庄组为吕梁群的第二个组。主要由灰黑色绢云千枚岩夹石英岩和粉砂岩组成，局部含碳质千枚岩。与下伏袁家村组整合接触；上与近周营组为沉积间断。厚2080米。[1] 裴家庄组名称裴家庄组裴家庄组时代Ar3-Pt1裴家庄组命名山西区域地质测量大队武铁山，徐朝雷等，1967年命名。
苇子峪组,本组以黑云-辉石斜长片麻岩、石榴透辉角闪斜长片麻岩、角闪辉石麻粒岩为主，夹铁英岩、辉石岩。与下伏沙厂组为断层接触；和上覆大漕组呈整合。苇子峪组命名长春地质学院卢兆良等，1984年。[1] 苇子峪组特征本组以黑云-辉石斜长片麻岩、石榴透辉角闪斜长片麻岩、角闪辉石麻粒岩为主，夹铁英岩、辉石岩。与下伏沙厂组为断层接触；和上覆大漕组呈整合。[1] 
阳坪上组,阳坪上组是岩石地层名称，属Ar3-Pt1时代，1993年命名。特征主要由石墨大理岩、透闪大理岩夹透辉变粒岩及少量石英岩构成。与下伏园子坪组、上覆贺家湾组均呈整合接触。厚844米。
柏枝(岩)组,
常窑组,
茨沟(岩)组,
大山沟(岩)组,特征以斜长角闪岩、黑云斜长变粒岩。二长浅粒岩、白云二长变粒岩、二云钠长变粒岩和角闪变粒岩等为互层的一套岩石地层单位，总厚475-500米。其上部斜长角闪岩中单颗粒锆石的U-Pb同位素年龄（逐层蒸发法）为2619±2.7Ma，据此判断其时代为新太古代。[1] 
大营子(岩)组,中文名称大营子（岩）组特征大营子（岩）组[1]  主要由黑云斜长片麻岩、角闪斜长片麻岩、变粒岩、浅粒岩、大理岩等岩石组成，夹有斜长角闪岩、铁英岩、黑云角闪片岩等。为含铁层位及低品位易选磷矿之赋存层位。上、下接触关系不明。
登封(岩)群,
东冲河杂岩,东冲河杂岩的时代属新太古代。指湖北宜昌黄陵庙地区的变质TTG岩石，与上覆崆岭群（水月寺群）呈不整合接触。东冲河杂岩岩石介绍地层名称:东冲河杂岩 地层名称（英文）: Dongchonghe Complex东冲河杂岩命名李福喜和聂学武1987年创名，命名剖面位于宜昌县野马洞和东冲河①东冲河杂岩沿革1924年先后由李四光、谢家荣和赵亚曾将宜昌黄陵庙地区的变质岩系命名为三斗坪群，自下而上分为黄陵花岗岩、美人沱片麻岩及崆岭片岩，李四光将其归属前震旦纪。谢家荣、赵亚曾则认为属太古宙。1935年李学清等认为黄陵庙一带由太古宙花岗岩组成。1954年赵宗溥认为黄陵地区的前震旦系与滹沱系相当，自下而上分为崆岭片岩、黄陵花岗岩。1959年胡海涛、李鄂荣把三斗坪群改名黄陵杂岩，崆岭片岩改名方岭片岩，黄陵花岗岩改名莲沱花岗岩，均属前震旦纪。1960—1961年北京地质学院先后测制了1:20万巴东幅(东半幅)和宜昌幅(西半幅)地质图，首次命名为崆岭群， 归属元古宙②。1963年北京地质学院测制1:20万宣城幅地质图，把俞建章(1929)归属前震旦系的结晶片岩和片麻状花岗岩命名为杨坡杂岩③。1970—1986年期间，各家一直沿用崆岭群之名，与之相当的杨坡杂岩后又改名为杨坡群。1987年李福喜等认为黄陵断隆南、北部的变质岩系不同，南部仍叫崆岭群， 北新建立了新太古代东冲河组和古元古代水月寺群。1987年鄂西地质大队测制1:5万兴山东半幅和水月寺幅时把东冲河组并入水月寺群，自下而上分为野马洞组、黄良河组和周家河组，时代为新太古代至古元古代。1990年宜昌市地质图说明书和《湖北省区域地质志》仍沿用崆岭群，属古元古代，并认为杨坡群相当于崆岭群上岩组。1991年郑维钊根据同位素年代学资料，认为李福喜等命名的东冲河组应当解体，他命名了中太古代龙头坪组，新太古代三阳群和古元古代坦荡河群。同年1:5万新滩东半幅、莲沱西半幅、过河口东半幅和三斗坪西半幅等地质图说明书，仍沿用北京地质学院(1960)的划分方案，但时代则归属中元古代。1992年马大铨、李福喜等人认为黄陵背斜“北部崆岭群”是由古侵入岩(奥长花岗质灰色片麻岩)和表壳岩组成，时代为新太古代至古元古代④马大铨、李福喜等，1992，黄陵花岗岩基侵入期次、时代及成因研究(科研报告)。。1993年富公勤等认为黄陵庙地区的岩石属变质杂岩，将混合花岗岩改称为水月寺花岗岩，其中残留的表壳岩被命名为王家湾群，认为是太古宙基底，其上命名为黄良河群。本典综合考虑了各家划分方案和同位素年龄资料，将崆岭群之中的东冲河组分出，归入新太古代，其中混有变质TTG岩石，目前难以分出，故改称东冲河杂岩。东冲河杂岩特征主要分布于宜昌县圈椅淌花岗岩穹隆周缘的曲长寨、野马洞、东冲河一带和雁落坪地区，大致是东经111 至111 15′和北纬31 10′至31 17′的范围，属黄陵大背斜的北部。本杂岩主要是混合质斜长角闪岩、斜长角闪岩、黑云斜长片麻岩(变粒岩)、混合质黑云斜长片麻岩，夹少量石英岩和黑云片岩，常见条痕、条带状及角砾状黑云(或角闪)斜长混合岩、均质混合岩及奥长花岗岩古侵入体(或灰色片麻岩)⑤表壳岩的原岩以基性至中酸性火山沉凝灰岩为主，夹硅质岩及基性侵入岩，不含石墨和碳酸盐岩石。总的变质程度属于角闪岩相，但已遭受多期变形，混合岩化强烈。该杂岩中黑云斜长片麻岩(变粒岩)锆石U-Pb一致曲线年龄年龄为2891Ma(李福喜等，1987)，东冲河的龙斗坪附近黑云斜长变粒岩锆石U-Pb一致曲线年龄为2855±15Ma(郑维钊等，1991)，奥长花岗质灰色片麻岩(4个样)和斜长角闪岩(1个样)全岩 Rb-Sr 等时线年龄为2675±173Ma，前者(4个样)全岩Rb-Sr与Sm-Nd等时线年龄分别为2652Ma、2981Ma(马大铨等，1992)。该杂岩底部未出露，顶部与古元古代水月寺群呈假整合接触。东冲河杂岩备考该杂岩的原岩性质、时代、主体岩石及不同岩石之间的关系等尚有不同认识，需进一步深入研究。 ①李福喜、聂学武，1987，黄陵断隆北部崆岭群地质时代及地层划分，湖北地质，第1卷，第1期，pp??19—41。 ②北京地质学院，1960，巴东幅(东半幅)1∶20万区域测报告。 ③北京地质学院，1963，宣城幅1∶20万区调报告。 ④马大铨、李福喜等，1992，黄陵花岗岩基侵入期次、时代及成因研究(科研报告)。 ⑤据中国地质大学(武汉) 高山等研究， 这些混合岩及混合岩化黑云斜长片麻岩相当TTG岩套。
东水沟(岩)组,主要由斜长角闪岩夹磁铁石英岩组成，有的地段还包括石英岩、黑云变粒岩和铁闪片岩。本（岩）组四周均为大片侵入成因或深熔成因的片麻岩，与吕梁群其他地层无正常接触关系。层位可能在袁家村组之下。东水沟（岩）组时代Ar3-Pt1东水沟（岩）组命名山西区域地质调查大队徐朝雷，1984年命名。东水沟（岩）组同物异名周家沟组。[1] 
杜家沟组,时代：Ar3命名：山西区域地质测量大队武铁山等，1967年命名。特征：为吕梁群的最上部的组。主要由变质酸性火山岩组成，以变石英斑岩、变长石斑岩、变流纹岩为主夹多层黑云片岩。与下伏近周营组为整合接触；上被岚河群不整合覆盖，向南变质加深发生熔融而与花岗片麻岩呈渐变过渡。杜家沟组时代Ar3杜家沟组命名山西区域地质测量大队武铁山等，1967年命名。杜家沟组特征为吕梁群的最上部的组。主要由变质酸性火山岩组成，以变石英斑岩、变长石斑岩、变流纹岩为主夹多层黑云片岩。与下伏近周营组为整合接触；上被岚河群不整合覆盖，向南变质加深发生熔融而与花岗片麻岩呈渐变过渡。[1] 
